sample	AMIKACIN	AMINOGLYCOSIDE	APRAMYCIN	AZITHROMYCIN	BETA-LACTAM	BLEOMYCIN	CEFTAROLINE	CEPHALOSPORIN	CHLORAMPHENICOL	CLARITHROMYCIN	CLINDAMYCIN	DAPTOMYCIN	ERYTHROMYCIN	FLORFENICOL	FOSFOMYCIN	FUSIDIC ACID	FUSIDIC_ACID	GENTAMICIN	KANAMYCIN	LINCOMYCIN	LINCOSAMIDE	LINEZOLID	METHICILLIN	MUPIROCIN	PRISTINAMYCIN	QUATERNARY AMMONIUM	QUINOLONE	RIFAMPIN	SPECTINOMYCIN	SPIRAMYCIN	STREPTOGRAMIN	STREPTOGRAMIN B	STREPTOMYCIN	STREPTOTHRICIN	SULFONAMIDE	TELITHROMYCIN	TETRACYCLINE	TOBRAMYCIN	TRIMETHOPRIM	TYLOSIN
17059_1#66	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
17059_1#67	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#3	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S
17059_1#4	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S
17059_1#7	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	S	S	S	S	S	S	R	S	S	S
17059_1#8	S	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	S	S	R
17059_1#9	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S
17059_1#10	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S
17059_1#12	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	R	S	S	R	S	S	R
17059_1#13	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	R	S	S	R	S	S	R
17059_1#16	S	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	S	S	R
17059_1#17	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	R	S	S	R	R	S	S	S	S	S	S	R	S	S	R	S	S	S
17059_1#18	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	R	S	S	R	R	S	S	S	S	S	S	R	S	S	R	S	S	S
17059_1#19	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	R	S	S	R	S	S	R
17059_1#20	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	R	S	S	R	S	S	R
17059_1#21	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	R	S	S	R	S	S	R
17059_1#23	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	R	S	S	R	S	S	R
17059_1#22	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	R	S	S	R	S	S	R
17059_1#76	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	R	S	S	S	S	S	S	S	S	S	S	R	S	S	S
17059_1#77	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	R	S	S	S	S	S	S	S	S	S	S	R	S	S	S
16870_2#19	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	R	S	S	R	S	S	S	S	S	S	R	R	S	S	R	R	S	S
16870_2#20	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	R	S	S	R	S	S	S	S	S	S	R	R	S	S	R	R	S	S
16870_2#11	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
16870_2#12	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	S	S	S	S	S	R	R	S	S
16870_2#14	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
18090_5#9	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
16870_2#16	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	R	S	S	R	S	S	S	S	S	S	R	R	S	S	R	R	S	S
16870_2#29	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
18090_5#12	S	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
16870_2#31	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
16870_2#32	S	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	S	R	S	S	S	S	R	S	S	R
16870_2#33	S	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	S	R	S	S	S	S	R	S	S	R
