curve_id	sample_id	repeat_id	environment
NE186_019.6	NE186	7	19
NE186_019.7	NE186	8	19
NE186_019.8	NE186	9	19
NE728_019	NE728	1	19
NE728_019.1	NE728	2	19
NE728_019.2	NE728	3	19
NE728_019.3	NE728	4	19
NE728_019.4	NE728	5	19
NE728_019.5	NE728	6	19
NE728_019.6	NE728	7	19
NE728_019.7	NE728	8	19
NE728_019.8	NE728	9	19
NE433_019	NE433	1	19
NE433_019.1	NE433	2	19
NE433_019.2	NE433	3	19
NE433_019.3	NE433	4	19
NE433_019.4	NE433	5	19
NE433_019.5	NE433	6	19
NE433_019.6	NE433	7	19
NE433_019.7	NE433	8	19
NE433_019.8	NE433	9	19
MPROS1861_000	MPROS1861	1	0
MPROS1861_000.1	MPROS1861	2	0
MPROS1861_000.2	MPROS1861	3	0
MPROS1861_000.3	MPROS1861	4	0
MPROS1861_000.4	MPROS1861	5	0
MPROS1861_000.5	MPROS1861	6	0
MPROS1861_000.6	MPROS1861	7	0
MPROS1861_000.7	MPROS1861	8	0
MPROS1861_000.8	MPROS1861	9	0
X10770_3.44_000	10770_3#44	1	0
X10770_3.44_000.1	10770_3#44	2	0
X10770_3.44_000.2	10770_3#44	3	0
X10770_3.44_000.3	10770_3#44	4	0
X10770_3.44_000.4	10770_3#44	5	0
X10770_3.44_000.5	10770_3#44	6	0
X10770_3.44_000.6	10770_3#44	7	0
X10770_3.44_000.7	10770_3#44	8	0
X10770_3.44_000.8	10770_3#44	9	0
X10900_1.28_000	10900_1#28	1	0
X10900_1.28_000.1	10900_1#28	2	0
X10900_1.28_000.2	10900_1#28	3	0
X10900_1.28_000.3	10900_1#28	4	0
X10900_1.28_000.4	10900_1#28	5	0
X10900_1.28_000.5	10900_1#28	6	0
X10900_1.28_000.6	10900_1#28	7	0
X10900_1.28_000.7	10900_1#28	8	0
X10900_1.28_000.8	10900_1#28	9	0
X10770_3.47_000	10770_3#47	1	0
X10770_3.47_000.1	10770_3#47	2	0
X10770_3.47_000.2	10770_3#47	3	0
X10770_3.47_000.3	10770_3#47	4	0
X10770_3.47_000.4	10770_3#47	5	0
X10770_3.47_000.5	10770_3#47	6	0
X10770_3.47_000.6	10770_3#47	7	0
X10770_3.47_000.7	10770_3#47	8	0
X10770_3.47_000.8	10770_3#47	9	0
MPROS2026_000	MPROS2026	1	0
MPROS2026_000.1	MPROS2026	2	0
MPROS2026_000.2	MPROS2026	3	0
MPROS2026_000.3	MPROS2026	4	0
MPROS2026_000.4	MPROS2026	5	0
MPROS2026_000.5	MPROS2026	6	0
MPROS2026_000.6	MPROS2026	7	0
MPROS2026_000.7	MPROS2026	8	0
MPROS2026_000.8	MPROS2026	9	0
MPROS0487_000	MPROS0487	1	0
MPROS0487_000.1	MPROS0487	2	0
MPROS0487_000.2	MPROS0487	3	0
MPROS0487_000.3	MPROS0487	4	0
MPROS0487_000.4	MPROS0487	5	0
MPROS0487_000.5	MPROS0487	6	0
MPROS0487_000.6	MPROS0487	7	0
